"","X","slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread","is.token","eth.based"
"4775",4775,"ethereum","ETH","Ethereum","2017-10-03",3,297.48,300.11,288.13,292.46,321680000,27766443809,0.3614,11.98,FALSE,FALSE
"4776",4776,"ethereum","ETH","Ethereum","2017-10-04",3,292.75,299.39,290.89,292.66,257906000,27789444567,0.2082,8.5,FALSE,FALSE
"4777",4777,"ethereum","ETH","Ethereum","2017-10-05",3,292.77,298.04,288.84,295.86,253747008,28098336333,0.763,9.2,FALSE,FALSE
"4778",4778,"ethereum","ETH","Ethereum","2017-10-06",3,295.15,308.84,294.95,308.59,318664000,29311483315,0.982,13.89,FALSE,FALSE
"4779",4779,"ethereum","ETH","Ethereum","2017-10-07",3,308.89,313.13,304.98,311.12,342204992,29557048403,0.7534,8.15,FALSE,FALSE
"4780",4780,"ethereum","ETH","Ethereum","2017-10-08",3,311.06,312.54,308.03,308.61,293167008,29322710612,0.1286,4.51,FALSE,FALSE
"4781",4781,"ethereum","ETH","Ethereum","2017-10-09",3,308.67,309.31,288.18,297.39,559467008,28261533648,0.4359,21.13,FALSE,FALSE
"4782",4782,"ethereum","ETH","Ethereum","2017-10-10",3,297.6,306.15,293.17,299.87,359705984,28501667385,0.5162,12.98,FALSE,FALSE
"4783",4783,"ethereum","ETH","Ethereum","2017-10-11",3,301.18,304.39,299.1,303.46,264146000,28847211568,0.8242,5.29,FALSE,FALSE
"4784",4784,"ethereum","ETH","Ethereum","2017-10-12",3,303.5,309.15,303.29,304.14,527556992,28916525240,0.1451,5.86,FALSE,FALSE
"4785",4785,"ethereum","ETH","Ethereum","2017-10-13",3,304.08,348.6,299.66,338.76,1304359936,32213441854,0.7989,48.94,FALSE,FALSE
"4786",4786,"ethereum","ETH","Ethereum","2017-10-14",3,338.85,347.98,334.7,339.63,516561984,32301459659,0.3712,13.28,FALSE,FALSE
"4787",4787,"ethereum","ETH","Ethereum","2017-10-15",3,339.53,342.72,320.43,336.6,635406976,32018244067,0.7254,22.29,FALSE,FALSE
"4788",4788,"ethereum","ETH","Ethereum","2017-10-16",3,336.71,349.35,332.04,333.38,692884992,31718200756,0.0774,17.31,FALSE,FALSE
"4789",4789,"ethereum","ETH","Ethereum","2017-10-17",3,333.48,333.48,311.79,317.08,509924000,30173609812,0.2439,21.69,FALSE,FALSE
"4790",4790,"ethereum","ETH","Ethereum","2017-10-18",3,316.94,317.24,290.64,314.32,606113984,29917084625,0.8902,26.6,FALSE,FALSE
"4791",4791,"ethereum","ETH","Ethereum","2017-10-19",3,314.54,316.71,305.83,308.09,349830016,29330304837,0.2077,10.88,FALSE,FALSE
"4792",4792,"ethereum","ETH","Ethereum","2017-10-20",3,308.05,311.44,303.49,304.01,396672992,28947916800,0.0654,7.95,FALSE,FALSE
"4793",4793,"ethereum","ETH","Ethereum","2017-10-21",3,303.57,303.93,291.77,300.19,408014016,28590314194,0.6924,12.16,FALSE,FALSE
"4794",4794,"ethereum","ETH","Ethereum","2017-10-22",3,300.55,305.5,292.81,295.45,327387008,28144794782,0.208,12.69,FALSE,FALSE
"4795",4795,"ethereum","ETH","Ethereum","2017-10-23",3,295.1,295.75,277.58,286.95,482336000,27341319876,0.5157,18.17,FALSE,FALSE
"4796",4796,"ethereum","ETH","Ethereum","2017-10-24",3,287.12,311.96,282.66,298.33,684281024,28431576038,0.5348,29.3,FALSE,FALSE
"4797",4797,"ethereum","ETH","Ethereum","2017-10-25",3,298.44,301.85,290.72,297.92,325040000,28399185652,0.6469,11.13,FALSE,FALSE
"4798",4798,"ethereum","ETH","Ethereum","2017-10-26",3,298.02,301.07,295.22,296.53,270272992,28271925666,0.2239,5.85,FALSE,FALSE
"4799",4799,"ethereum","ETH","Ethereum","2017-10-27",3,296.51,299.26,294.06,297.42,257168992,28363439564,0.6462,5.2,FALSE,FALSE
"4800",4800,"ethereum","ETH","Ethereum","2017-10-28",3,297.92,300.36,293.58,296.3,264424000,28262202960,0.4012,6.78,FALSE,FALSE
"4801",4801,"ethereum","ETH","Ethereum","2017-10-29",3,296.38,313.76,296.38,305.09,551752000,29106827254,0.5012,17.38,FALSE,FALSE
"4802",4802,"ethereum","ETH","Ethereum","2017-10-30",3,304.78,310.5,304.35,307.75,331441984,29367079933,0.5528,6.15,FALSE,FALSE
"4803",4803,"ethereum","ETH","Ethereum","2017-10-31",3,307.38,310.55,305.88,305.88,369583008,29194751985,0,4.67,FALSE,FALSE
"4804",4804,"ethereum","ETH","Ethereum","2017-11-01",3,305.76,306.4,290.58,291.69,553864000,27846764494,0.0702,15.82,FALSE,FALSE
"4805",4805,"ethereum","ETH","Ethereum","2017-11-02",3,290.73,293.91,281.17,287.43,904900992,27445442368,0.4914,12.74,FALSE,FALSE
"4806",4806,"ethereum","ETH","Ethereum","2017-11-03",3,288.5,308.31,287.69,305.71,646339968,29197317355,0.8739,20.62,FALSE,FALSE
"4807",4807,"ethereum","ETH","Ethereum","2017-11-04",3,305.48,305.48,295.8,300.47,416479008,28702737365,0.4824,9.68,FALSE,FALSE
"4808",4808,"ethereum","ETH","Ethereum","2017-11-05",3,300.04,301.37,295.12,296.26,337657984,28307052341,0.1824,6.25,FALSE,FALSE
"4809",4809,"ethereum","ETH","Ethereum","2017-11-06",3,296.43,305.42,293.72,298.89,579358976,28564296472,0.4419,11.7,FALSE,FALSE
"4810",4810,"ethereum","ETH","Ethereum","2017-11-07",3,298.57,304.84,290.77,294.66,540766016,28165778801,0.2765,14.07,FALSE,FALSE
"4811",4811,"ethereum","ETH","Ethereum","2017-11-08",3,294.27,318.7,293.1,309.07,967955968,29549552409,0.6238,25.6,FALSE,FALSE
"4812",4812,"ethereum","ETH","Ethereum","2017-11-09",3,308.64,329.45,307.06,320.88,893249984,30685584327,0.6172,22.39,FALSE,FALSE
"4813",4813,"ethereum","ETH","Ethereum","2017-11-10",3,320.67,324.72,294.54,299.25,885985984,28623188738,0.1561,30.18,FALSE,FALSE
